metric	value
replicons_total	1
chromosome_or_other_replicons	1
plasmids_total	0
length_bp_total	4536398
gc_percent_weighted	55.2
genes_total	2666
cds_total	3759
cds_with_translation_total	0
pseudogenes_total	0
trna_total	48
rrna_total	6
rrna_5s_total	2
rrna_16s_total	2
rrna_23s_total	2
rrna_other_total	0
rrna_complete_total	6
rrna_partial_total	0
ncrna_total	3
tmrna_total	1
other_rna_total	0
annotated_bases_bp_total	2770294
coding_bases_bp_total	2756921
intergenic_spacers_n_total	2991
intergenic_spacers_bp_total	1762711
annotated_overlaps_n_total	3482
annotated_overlaps_bp_total	2775071
coding_density_percent	60.8
avg_gene_length_bp_weighted	881.3
avg_cds_length_bp_weighted	846.1
intergenic_spacers_mean_bp	589.3
annotated_overlaps_mean_bp	797.0
genes_per_mbp	587.7
cds_per_mbp	828.6
trna_per_mbp	10.6
rrna_operon_proxy_min	2
