standard_name	issue	gene_feature_gene	gene_feature_product	cds_feature_gene	cds_feature_product	final_gene	final_product	resolution
proton extrusion protein PcxA CDS	resolution				proton extrusion protein PcxA	pcxA	proton extrusion protein PcxA	uniprot_product_to_gene:pcxA:25,pxcA:10
secondary thiamine-phosphate synthase enzyme YjbQ CDS	resolution				secondary thiamine-phosphate synthase enzyme YjbQ	unknown_gene	secondary thiamine-phosphate synthase enzyme YjbQ	fallback_unknown_gene
L,D-transpeptidase CDS	resolution				L,D-transpeptidase	unknown_gene	L,D-transpeptidase	fallback_unknown_gene
bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase CDS	resolution				bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase	eda	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase	uniprot_product_to_gene:eda:5
septum site-determining protein MinC CDS	resolution				septum site-determining protein MinC	minC	septum site-determining protein MinC	uniprot_product_to_gene:minC:597
N-acetylmuramoyl-L-alanine amidase CDS	resolution				N-acetylmuramoyl-L-alanine amidase	amiA	N-acetylmuramoyl-L-alanine amidase	uniprot_product_to_gene:amiA:10
RsmB/NOP family class I SAM-dependent RNA methyltransferase CDS	resolution				RsmB/NOP family class I SAM-dependent RNA methyltransferase	unknown_gene	RsmB/NOP family class I SAM-dependent RNA methyltransferase	fallback_unknown_gene
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
DUF1361 domain-containing protein CDS	resolution				DUF1361 domain-containing protein	unknown_gene	DUF1361 domain-containing protein	fallback_unknown_gene
YggT family protein CDS	resolution				YggT family protein	yggT	YggT family protein	uniprot_product_to_gene:yggT:5
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
AI-2E family transporter CDS	resolution				AI-2E family transporter	unknown_gene	AI-2E family transporter	fallback_unknown_gene
class I SAM-dependent methyltransferase CDS	resolution				class I SAM-dependent methyltransferase	unknown_gene	class I SAM-dependent methyltransferase	fallback_unknown_gene
glycosyltransferase family 4 protein CDS	resolution				glycosyltransferase family 4 protein	unknown_gene	glycosyltransferase family 4 protein	fallback_unknown_gene
YbjN domain-containing protein CDS	resolution				YbjN domain-containing protein	unknown_gene	YbjN domain-containing protein	fallback_unknown_gene
