identifier,identifier_type_genome1,identifier_type_genome2,record_id_genome1,record_id_genome2,supporting_types_genome1,supporting_types_genome2,start_genome1,start_genome2,end_genome1,end_genome2,strand_genome1,strand_genome2,start_difference_bp,position_match_within_threshold,status
(2Fe-2S) ferredoxin domain-containing protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3258015,3258064,3258852,3258901,-1,-1,49,True,matched
16S,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,rRNA,rRNA,2157923,2157919,2159409,2159405,-1,-1,4,True,matched
16S,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,rRNA,rRNA,3456666,3456724,3458152,3458210,1,1,58,True,matched
2-hydroxyacid dehydrogenase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3447484,3447540,3448492,3448548,1,1,56,True,matched
"2-methyl-6-phytyl-1,4-hydroquinone methyltransferase",standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1710964,1710948,1711957,1711941,-1,-1,16,True,matched
2-phosphosulfolactate phosphatase family protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2831755,2831800,2832511,2832556,-1,-1,45,True,matched
23S,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,rRNA,rRNA,2154707,2154703,2157520,2157516,-1,-1,4,True,matched
23S,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,rRNA,rRNA,3458555,3458613,3461368,3461426,1,1,58,True,matched
2Fe-2S iron-sulfur cluster-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1503080,1503061,1503404,1503385,-1,-1,19,True,matched
2Fe-2S iron-sulfur cluster-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2347344,2347351,2347641,2347648,-1,-1,7,True,matched
2Fe-2S iron-sulfur cluster-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2853007,2853057,2853301,2853351,1,1,50,True,matched
2Fe-2S iron-sulfur cluster-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3285498,3285550,3286644,3286696,-1,-1,52,True,matched
