/home/mi/work/genome1.fna /home/mi/work/genome2.fna
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	2069	1	2069	2069	2069	99.08	4539749	4536413	0.05	0.05	CorrectedCP166615.1	FinalAssembly_Ba.1
2127	16748	2311	16937	14622	14627	98.85	4539749	4536413	0.32	0.32	CorrectedCP166615.1	FinalAssembly_Ba.1
2790	2986	1243837	1243641	197	197	90.36	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
2790	2986	3501659	3501464	197	196	91.37	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
2791	2968	755373	755548	178	176	91.57	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
2795	2985	109065	108876	191	190	90.05	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
17362	48828	16938	48317	31467	31380	98.24	4539749	4536413	0.69	0.69	CorrectedCP166615.1	FinalAssembly_Ba.1
46201	46358	2396943	2396787	158	157	92.41	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
46203	46359	1836543	1836387	157	157	94.27	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
46211	46359	319438	319290	149	149	95.97	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
46211	46361	3753221	3753071	151	151	94.70	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
46212	46351	471772	471911	140	140	96.43	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
46212	46359	1069484	1069337	148	148	91.89	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
46212	46358	1946655	1946509	147	147	95.92	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
46212	46359	2239483	2239336	148	148	93.92	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
46285	46360	93465	93540	76	76	97.37	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
48831	75820	48453	75452	26990	27000	97.99	4539749	4536413	0.59	0.60	CorrectedCP166615.1	FinalAssembly_Ba.1
75820	82907	75608	82703	7088	7096	98.36	4539749	4536413	0.16	0.16	CorrectedCP166615.1	FinalAssembly_Ba.1
78749	78895	93460	93314	147	147	91.84	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
78749	78899	411065	410915	151	151	91.39	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
78749	78898	1017630	1017779	150	150	93.33	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
78749	78899	1625272	1625119	151	154	90.26	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
78749	78899	1782304	1782454	151	151	90.73	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
78749	78896	2233954	2233807	148	148	92.57	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
78749	78899	4062885	4063035	151	151	90.07	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
78750	78894	326684	326828	145	145	93.79	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
78750	78895	437911	437766	146	146	91.78	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
78750	78899	3272607	3272459	150	149	92.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
78775	78896	3416551	3416672	122	122	90.16	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
81186	81611	3758976	3759401	426	426	92.51	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
82994	94359	112924	101559	11366	11366	98.74	4539749	4536413	0.25	0.25	CorrectedCP166615.1	FinalAssembly_Ba.1
85706	85871	411074	410908	166	167	86.98	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
85706	85868	1017621	1017784	163	164	87.27	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
85706	85870	1525166	1525001	165	166	86.23	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
85706	85821	1782295	1782411	116	117	93.16	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
85706	85868	2233963	2233800	163	164	86.67	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
85706	85820	3722991	3723106	115	116	91.38	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
85707	85795	1697136	1697048	89	89	92.22	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
85707	85798	3992110	3992019	92	92	96.74	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
85707	85860	4008698	4008851	154	154	98.05	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
85716	85824	1704707	1704598	109	110	90.91	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
85716	85819	4260456	4260560	104	105	91.43	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
85763	85870	3221187	3221079	108	109	90.83	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
86849	87025	755372	755548	177	177	91.57	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
86853	87042	2979	3169	190	191	90.58	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
86853	87042	1968644	1968834	190	191	90.58	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
86853	87025	3780979	3780806	173	174	91.38	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
86855	87036	1243830	1243648	182	183	93.44	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
93363	93474	368266	368155	112	112	95.54	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
93538	93738	368355	368155	201	201	94.53	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
97754	102193	97904	93465	4440	4440	97.70	4539749	4536413	0.10	0.10	CorrectedCP166615.1	FinalAssembly_Ba.1
102116	102265	3957304	3957453	150	150	90.67	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
102118	102267	3753072	3753221	150	150	94.67	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
102119	102268	45847	45698	150	150	95.33	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
102119	102267	319290	319438	149	149	93.29	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
102119	102256	1069337	1069474	138	138	92.03	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
102119	102268	1301279	1301428	150	150	93.33	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
102119	102256	1836387	1836524	138	138	94.93	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
102119	102250	2239336	2239467	132	132	93.18	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
102120	102256	1946509	1946645	137	137	96.35	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
102127	102266	471911	471772	140	140	96.43	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
102200	105995	93314	89492	3796	3823	98.48	4539749	4536413	0.08	0.08	CorrectedCP166615.1	FinalAssembly_Ba.1
106848	113322	89269	82795	6475	6475	98.21	4539749	4536413	0.14	0.14	CorrectedCP166615.1	FinalAssembly_Ba.1
116703	135663	113139	132095	18961	18957	97.98	4539749	4536413	0.42	0.42	CorrectedCP166615.1	FinalAssembly_Ba.1
124761	124863	991046	990944	103	103	91.26	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
124761	124860	3737378	3737477	100	100	90.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
124777	124865	3669395	3669307	89	89	97.75	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
136322	148500	132103	144282	12179	12180	98.99	4539749	4536413	0.27	0.27	CorrectedCP166615.1	FinalAssembly_Ba.1
141578	141728	1871756	1871902	151	147	90.73	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
141580	141727	4518477	4518624	148	148	89.86	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
148497	148647	868894	869044	151	151	92.72	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
148497	148647	2999813	2999963	151	151	92.72	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
