[START] Reading GenBank input...
[START] Loaded 1 record(s).
[RECORD] Processing record 1/1: 1
[CHANGED] standard_name=dnaA CDS | location=635-2054(+) | final_gene=dnaA | final_product=chromosomal replication initiator protein DnaA | resolution=no_change
[UNCHANGED] standard_name=leuD CDS | location=2378-2981(+) | final_gene=leuD | final_product=3-isopropylmalate dehydratase small subunit 1 | resolution=no_change
[CHANGED] standard_name=leuD gene | location=2378-2981(+) | final_gene=leuD | final_product=leuD gene | resolution=no_change
[CHANGED] standard_name=proton extrusion protein PcxA CDS | location=5711-7199(+) | final_gene=pcxA | final_product=proton extrusion protein PcxA | resolution=uniprot_product_to_gene:pcxA:25,pxcA:10
[CHANGED] standard_name=ylqF CDS | location=7233-8223(+) | final_gene=ylqF | final_product=ribosome biogenesis GTPase YlqF | resolution=no_change
[UNRESOLVED] standard_name=secondary thiamine-phosphate synthase enzyme YjbQ CDS | location=8354-8804(+) | final_gene=unknown_gene | final_product=secondary thiamine-phosphate synthase enzyme YjbQ | resolution=fallback_unknown_gene
[CHANGED] standard_name=surE CDS | location=8844-9675(-) | final_gene=surE | final_product=5'/3'-nucleotidase SurE | resolution=no_change
[UNRESOLVED] standard_name=L,D-transpeptidase CDS | location=10434-10812(-) | final_gene=unknown_gene | final_product=L,D-transpeptidase | resolution=fallback_unknown_gene
[CHANGED] standard_name=bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase CDS | location=11402-12152(-) | final_gene=eda | final_product=bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase | resolution=uniprot_product_to_gene:eda:5
[UNCHANGED] standard_name=minE CDS | location=12198-12597(-) | final_gene=minE | final_product=Cell division topological specificity factor | resolution=no_change
[CHANGED] standard_name=minE gene | location=12198-12597(-) | final_gene=minE | final_product=minE gene | resolution=no_change
[CHANGED] standard_name=minD CDS | location=12859-13669(-) | final_gene=minD | final_product=septum site-determining protein MinD | resolution=no_change
[CHANGED] standard_name=septum site-determining protein MinC CDS | location=13817-15395(-) | final_gene=minC | final_product=septum site-determining protein MinC | resolution=uniprot_product_to_gene:minC:597
[CHANGED] standard_name=N-acetylmuramoyl-L-alanine amidase CDS | location=15502-16834(+) | final_gene=amiA | final_product=N-acetylmuramoyl-L-alanine amidase | resolution=uniprot_product_to_gene:amiA:10
[UNCHANGED] standard_name=lysS CDS | location=17255-18869(+) | final_gene=lysS | final_product=Lysine--tRNA ligase | resolution=no_change
[CHANGED] standard_name=lysS gene | location=17255-18869(+) | final_gene=lysS | final_product=lysS gene | resolution=no_change
[UNRESOLVED] standard_name=RsmB/NOP family class I SAM-dependent RNA methyltransferase CDS | location=18957-20043(+) | final_gene=unknown_gene | final_product=RsmB/NOP family class I SAM-dependent RNA methyltransferase | resolution=fallback_unknown_gene
[CHANGED] standard_name=tetratricopeptide repeat protein CDS | location=21230-23279(+) | final_gene=fxsT | final_product=tetratricopeptide repeat protein | resolution=uniprot_product_to_gene:fxsT:3
[UNRESOLVED] standard_name=DUF1361 domain-containing protein CDS | location=23469-24150(+) | final_gene=unknown_gene | final_product=DUF1361 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=YggT family protein CDS | location=24174-24450(-) | final_gene=yggT | final_product=YggT family protein | resolution=uniprot_product_to_gene:yggT:5
[CHANGED] standard_name=pentapeptide repeat-containing protein CDS | location=25435-26509(-) | final_gene=unk5 | final_product=pentapeptide repeat-containing protein | resolution=uniprot_product_to_gene:unk5:15
[UNRESOLVED] standard_name=AI-2E family transporter CDS | location=26686-27859(-) | final_gene=unknown_gene | final_product=AI-2E family transporter | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=class I SAM-dependent methyltransferase CDS | location=28638-29571(+) | final_gene=unknown_gene | final_product=class I SAM-dependent methyltransferase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=glycosyltransferase family 4 protein CDS | location=29567-30797(-) | final_gene=unknown_gene | final_product=glycosyltransferase family 4 protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=YbjN domain-containing protein CDS | location=30952-31366(+) | final_gene=unknown_gene | final_product=YbjN domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=prepilin-type N-terminal cleavage/methylation domain-containing protein YbjN CDS | location=31386-32124(-) | final_gene=unknown_gene | final_product=prepilin-type N-terminal cleavage/methylation domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=RibD family protein CDS | location=32188-32929(-) | final_gene=unknown_gene | final_product=RibD family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=glycosyltransferase family 2 protein CDS | location=33288-35169(-) | final_gene=unknown_gene | final_product=glycosyltransferase family 2 protein | resolution=fallback_unknown_gene
