metric	value
replicons_total	1
chromosome_or_other_replicons	1
plasmids_total	0
length_bp_total	4536413
gc_percent_weighted	55.3
genes_total	3343
cds_total	4234
cds_with_translation_total	0
pseudogenes_total	0
trna_total	48
rrna_total	6
rrna_5s_total	2
rrna_16s_total	2
rrna_23s_total	2
rrna_other_total	0
rrna_complete_total	6
rrna_partial_total	0
ncrna_total	3
tmrna_total	1
other_rna_total	0
annotated_bases_bp_total	3674365
coding_bases_bp_total	3660994
intergenic_spacers_n_total	3496
intergenic_spacers_bp_total	861261
annotated_overlaps_n_total	4125
annotated_overlaps_bp_total	3691925
coding_density_percent	80.7
avg_gene_length_bp_weighted	1006.4
avg_cds_length_bp_weighted	941.6
intergenic_spacers_mean_bp	246.4
annotated_overlaps_mean_bp	895.0
genes_per_mbp	736.9
cds_per_mbp	933.3
trna_per_mbp	10.6
rrna_operon_proxy_min	2
